2021.08.30|LOCAL_HOLIDAY|Summer Bank Holiday
2021.12.25|BANK_HOLIDAY|Christmas Day
2021.12.26|BANK_HOLIDAY|Boxing Day
2021.12.27|BANK_HOLIDAY|Bank Holiday
2021.12.28|BANK_HOLIDAY|Bank Holiday
2022.01.01|BANK_HOLIDAY|New Year's Day
2022.01.03|BANK_HOLIDAY|"New Year's Day" observed
2022.04.15|BANK_HOLIDAY|Good Friday
2022.04.18|LOCAL_HOLIDAY|Easter Monday
2022.05.02|BANK_HOLIDAY|Early May Bank Holiday
2022.05.30|BANK_HOLIDAY|Spring Bank Holiday
2022.08.29|LOCAL_HOLIDAY|Summer Bank Holiday
2022.12.25|BANK_HOLIDAY|Christmas Day
2022.12.26|BANK_HOLIDAY|Boxing Day
2022.12.27|BANK_HOLIDAY|Bank Holiday
2023.01.01|BANK_HOLIDAY|New Year's Day
2023.01.02|BANK_HOLIDAY|"New Year's Day" observed
2023.04.07|BANK_HOLIDAY|Good Friday
2023.04.10|LOCAL_HOLIDAY|Easter Monday
2023.05.01|BANK_HOLIDAY|Early May Bank Holiday
2023.05.29|BANK_HOLIDAY|Spring Bank Holiday
2023.08.28|LOCAL_HOLIDAY|Summer Bank Holiday
2023.12.25|BANK_HOLIDAY|Christmas Day
2023.12.26|BANK_HOLIDAY|Boxing Day
2024.01.01|BANK_HOLIDAY|New Year's Day
2024.03.29|BANK_HOLIDAY|Good Friday
2024.04.01|LOCAL_HOLIDAY|Easter Monday
2024.05.06|BANK_HOLIDAY|Early May Bank Holiday
2024.05.27|BANK_HOLIDAY|Spring Bank Holiday
2024.08.26|LOCAL_HOLIDAY|Summer Bank Holiday
2024.12.25|BANK_HOLIDAY|Christmas Day
2024.12.26|BANK_HOLIDAY|Boxing Day
2025.01.01|BANK_HOLIDAY|New Year's Day
2025.04.18|BANK_HOLIDAY|Good Friday
2025.04.21|LOCAL_HOLIDAY|Easter Monday
2025.05.05|BANK_HOLIDAY|Early May Bank Holiday
2025.05.26|BANK_HOLIDAY|Spring Bank Holiday
2025.08.25|LOCAL_HOLIDAY|Summer Bank Holiday
2025.12.25|BANK_HOLIDAY|Christmas Day
2025.12.26|BANK_HOLIDAY|Boxing Day
2026.01.01|BANK_HOLIDAY|New Year's Day
2026.04.03|BANK_HOLIDAY|Good Friday
